Time (s),Green Avg (rPPG Proxy)
0.000,99.63423423423423
0.033,98.75333333333333
0.067,100.31990740740741
0.100,99.20516431924882
0.133,99.93427230046949
0.167,99.97276995305164
0.200,100.73666666666666
0.233,100.4504761904762
0.267,101.80531400966184
0.300,98.81095238095239
0.333,99.12142857142857
0.367,100.43333333333334
0.400,100.22415458937198
0.433,99.61352657004831
0.467,99.62769953051644
0.500,99.60380952380953
0.533,101.90628019323671
0.567,100.63382352941177
0.600,99.82714285714286
0.633,100.96231884057971
0.667,100.01739130434783
0.700,100.17268518518519
0.733,99.32463768115942
0.767,100.85727699530517
0.800,100.93474178403756
0.833,102.62270531400966
0.867,100.60555555555555
0.900,100.22910798122065
0.933,99.75652173913043
0.967,99.77793427230047
1.000,101.95238095238095
1.033,99.61142857142858
1.067,102.24444444444444
1.100,101.11380952380952
1.133,98.38009259259259
1.167,99.08857142857143
1.200,98.85714285714286
1.233,97.60380952380953
1.267,96.4319248826291
1.300,97.73970588235294
1.333,95.22777777777777
1.367,97.1134328358209
1.400,95.8656862745098
1.433,95.28761904761905
1.467,95.30049019607843
1.500,94.5921568627451
1.533,92.95666666666666
1.567,93.3671497584541
1.600,92.46904761904761
1.633,92.68550724637682
1.667,92.77990196078431
1.700,94.17476190476191
1.733,93.56238095238095
1.767,93.86238095238095
1.800,93.08425925925926
1.833,92.90428571428572
1.867,92.16380952380952
1.900,91.71666666666667
1.933,91.67962962962963
1.967,90.72018779342723
2.000,90.75231481481481
2.033,89.59954954954955
2.067,89.75092592592593
2.100,90.09166666666667
2.133,89.1337899543379
2.167,90.18240740740741
2.200,90.00328638497652
2.233,88.36575342465754
2.267,88.48472222222222
2.300,88.88842592592593
2.333,88.6131455399061
2.367,88.24953703703704
2.400,87.71157407407408
2.433,87.73240740740741
2.467,87.72191780821917
2.500,88.14722222222223
2.533,87.81872146118721
2.567,87.94537037037037
2.600,87.14109589041095
2.633,86.99954337899544
2.667,85.86216216216216
2.700,86.31936936936937
2.733,86.16073059360731
2.767,86.09594594594594
2.800,86.82731481481481
2.833,86.43333333333334
2.867,86.51963470319635
2.900,87.15601851851852
2.933,86.90185185185184
2.967,86.69543378995434
3.000,86.66438356164383
3.033,86.6648401826484
3.067,87.57037037037037
3.100,87.54305555555555
3.133,87.46118721461187
3.167,88.49389671361503
3.200,88.40234741784037
3.233,88.11924882629108
3.267,88.2175925925926
3.300,89.2547619047619
3.333,89.21571428571428
3.367,89.12394366197184
3.400,89.35633802816902
3.433,88.90375586854461
3.467,88.52582159624413
3.500,89.0352380952381
3.533,88.53708920187793
3.567,89.19952380952381
3.600,89.1536231884058
3.633,89.11256038647343
3.667,88.4962441314554
3.700,88.79809523809524
3.733,88.42769953051643
3.767,88.75190476190477
3.800,87.59132420091325
3.833,89.12028985507246
3.867,88.79953051643193
3.900,88.9504761904762
3.933,88.95285714285714
3.967,88.54366197183099
4.000,87.7
4.033,86.66392694063927
4.067,88.14190476190477
4.100,86.93425925925926
4.133,88.29906103286385
4.167,86.68796296296296
4.200,86.48082191780821
4.233,86.41050228310502
4.267,85.60765765765765
4.300,87.25305164319249
4.333,86.21141552511415
4.367,85.39054054054054
4.400,86.19543378995434
4.433,85.08783783783784
4.467,85.03783783783784
4.500,84.54311111111112
4.533,84.87747747747748
4.567,84.92477477477478
4.600,84.56711111111112
4.633,85.18949771689498
4.667,84.82027027027027
4.700,85.06756756756756
4.733,85.6037037037037
4.767,85.72702702702702
4.800,85.44144144144144
4.833,85.39189189189189
4.867,84.61244444444445
4.900,85.71735159817352
4.933,85.33963963963964
4.967,85.72374429223744
5.000,86.41805555555555
5.033,85.59099099099099
5.067,85.62328767123287
5.100,84.7527027027027
5.133,85.35068493150685
5.167,85.06301369863014
5.200,84.72283105022831
5.233,85.96525821596244
5.267,85.09817351598174
5.300,85.81408450704225
5.333,85.40833333333333
5.367,85.50555555555556
5.400,85.68403755868545
5.433,86.53101851851852
5.467,85.30509259259259
5.500,84.67945205479452
5.533,84.92488262910798
5.567,85.00238095238095
5.600,85.60571428571428
5.633,84.67777777777778
5.667,84.96018518518518
5.700,85.18028169014084
5.733,85.04537037037036
5.767,85.09953051643193
5.800,85.66338028169014
5.833,86.33192488262911
5.867,84.99583333333334
5.900,85.79906103286385
5.933,84.47699530516432
5.967,87.32857142857142
6.000,84.98333333333333
6.033,86.03238095238095
6.067,85.03238095238095
6.100,84.87380952380953
6.133,85.33
6.167,85.6719806763285
6.200,85.81830985915492
6.233,85.7712962962963
6.267,85.4574074074074
6.300,85.77276995305164
6.333,85.70343137254902
6.367,85.50428571428571
6.400,86.40328638497652
6.433,85.63286384976526
6.467,85.4050925925926
6.500,85.29074074074074
6.533,84.90416666666667
6.567,85.89201877934272
6.600,86.28028169014084
6.633,85.72300469483568
6.667,85.03518518518518
6.700,85.71173708920188
6.733,85.4
6.767,85.27453703703704
6.800,85.89483568075117
6.833,86.52253521126761
6.867,86.58904761904762
6.900,86.99047619047619
6.933,85.76898148148148
6.967,85.94259259259259
7.000,85.86898148148148
7.033,85.7356807511737
7.067,85.2925925925926
7.100,85.51455399061032
7.133,84.74063926940639
7.167,85.73802816901409
7.200,85.72300469483568
7.233,85.0837962962963
7.267,84.53333333333333
7.300,84.66435185185185
7.333,84.76712962962964
7.367,85.22441314553991
7.400,85.29154929577464
7.433,85.38888888888889
7.467,85.53904761904762
7.500,85.27558685446009
7.533,85.03652968036529
7.567,86.46285714285715
7.600,86.36056338028169
7.633,87.34553990610328
7.667,86.53521126760563
7.700,87.618779342723
7.733,88.03896713615023
7.767,87.65680751173709
7.800,87.8
7.833,87.43657407407407
7.867,87.6018779342723
7.900,88.16478873239437
7.933,87.8849765258216
7.967,88.05352112676056
8.000,88.01455399061032
8.033,87.89238095238095
8.067,87.19342723004695
8.100,86.72546296296296
8.133,87.41805555555555
8.167,87.35774647887324
8.200,85.92592592592592
8.233,87.737558685446
8.267,88.4695652173913
8.300,86.87808219178082
8.333,87.1962962962963
8.367,86.99360730593607
